configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
fixed_l_over_duration_5,1,489.51122690278135,489.65161980760604,0.1403929048246937,-0.0001482530471609289,-0.0001482530471609289,False,-0.00018188980914674485,2.678944689883558e-05,3.3636761985815944e-05
fixed_l_over_duration_5,1,489.51122690278135,489.67205402740365,0.1608271246223012,-0.0001405486473085027,-0.0001405486473085027,False,-0.00018034127435538673,2.67829954328291e-05,3.9792627046884036e-05
fixed_l_over_duration_5,1,489.51122690278135,489.69248834725295,0.18126144447160186,-0.00013941564733022105,-0.00013941564733022105,False,-0.00017884106955053092,2.677610643215609e-05,3.942542222030987e-05
fixed_l_over_duration_5,1,489.51122690278135,489.7129224670498,0.20169556426844792,-0.00021102124595895333,-0.00021102124595895333,False,-0.00017739002499204208,2.6768821929894617e-05,-3.363122096691125e-05
fixed_l_over_duration_5,1,489.51122690278135,489.73335678678995,0.22212988400860922,-0.00021464684588956562,-0.00021464684588956562,False,-0.0001759886607025755,2.676118684538531e-05,-3.865818518699013e-05
fixed_l_over_duration_5,1,489.51122690278135,489.7537910065221,0.24256410374073312,-0.00020252374612161894,-0.00020252374612161894,False,-0.0001746372890529425,2.6753248780798814e-05,-2.7886457068676442e-05
fixed_l_over_duration_5,1,489.51122690278135,489.7742251262025,0.26299822342116386,,,False,-0.00017333594792692588,2.674505691457776e-05,
fixed_l_over_duration_5,1,489.51122690278135,489.79465944594267,0.28343254316132516,-0.00020444984608480876,-0.00020444984608480876,False,-0.00017208440951092704,2.673666120087774e-05,-3.236543657388172e-05
fixed_l_over_duration_5,1,489.51122690278135,489.8150936655584,0.3038667627770337,-0.00014723334718047543,-0.00014723334718047543,False,-0.00017088224188622735,2.6728111945685817e-05,2.3648894705751924e-05
fixed_l_over_duration_5,1,489.51122690278135,489.83552788523957,0.3243009824582259,-0.0001719327467074594,-0.0001719327467074594,False,-0.00016972875351857703,2.671945861013032e-05,-2.203993188882366e-06
fixed_l_over_duration_5,1,489.51122690278135,489.85596210486256,0.34473520208121045,-0.0002590604450389833,-0.0002590604450389833,False,-0.00016862303240099266,2.6710749244855513e-05,-9.043741263799063e-05
fixed_l_over_duration_20,1,489.51122690278135,489.1816327449269,-0.32959415785444435,-0.0004176804420014113,-0.0004176804420014113,False,-0.0001916717049972275,1.4433005742034934e-05,-0.0002260087370041838
fixed_l_over_duration_20,1,489.51122690278135,489.2020668653058,-0.3091600374755217,-0.0004173405420079268,-0.0004173405420079268,False,-0.00019107764643287901,1.4432737984857828e-05,-0.0002262628955750478
fixed_l_over_duration_20,1,489.51122690278135,489.2225011856208,-0.2887257171605597,-0.00016332194687240786,-0.00016332194687240786,False,-0.00019047249329284116,1.4432460939985098e-05,2.7150546420433297e-05
fixed_l_over_duration_20,1,489.51122690278135,489.24293540594226,-0.26829149683908327,-0.00027956774464632517,-0.00027956774464632517,False,-0.00018985633450759975,1.4432174523392435e-05,-8.971141013872541e-05
fixed_l_over_duration_20,1,489.51122690278135,489.2633697262572,-0.24785717652412131,-0.00024002604540351857,-0.00024002604540351857,False,-0.00018922924455404364,1.4431878653639289e-05,-5.079680084947493e-05
